ID_Filter,PortNumber,Protocol,MinPackets
1,661,UDP,2
2,53,UDP,1
3,67,UDP,1
4,547,UDP,1
5,657,UDP,1
6,847,UDP,1
8,1812,UDP,2
9,1645,UDP,2
10,1646,UDP,2
11,1813,UDP,2
12,7082,UDP,2
13,88,UDP,4
14,749,UDP,4
15,750,UDP,4
16,751,UDP,4
17,752,UDP,4
18,753,UDP,4
19,754,UDP,4
20,543,UDP,4
21,544,UDP,4
22,2053,UDP,4
23,2105,UDP,4
24,4444,UDP,4
25,910,UDP,4
26,464,UDP,4
27,389,UDP,2
28,636,UDP,2
29,674,UDP,2
30,20,UDP,2
31,21,UDP,2
32,69,UDP,3
33,111,UDP,2
34,564,UDP,2
35,2049,UDP,2
36,4045,UDP,2
37,9987,UDP,7
38,514,UDP,1
39,601,UDP,1
40,143,UDP,2
41,500,UDP,2
42,4500,UDP,2
43,1080,UDP,3
44,3345,UDP,2
45,8081,UDP,2
46,520,UDP,2
47,521,UDP,2
48,646,UDP,1
49,89,UDP,1
50,1789,UDP,1
51,1985,UDP,1
52,112,UDP,1
53,161,UDP,2
54,199,UDP,2
55,162,UDP,2
56,554,UDP,4
57,1935,UDP,2
58,7070,UDP,4
59,8554,UDP,4
60,123,UDP,2
61,319,UDP,1
62,525,UDP,1
63,5060,UDP,4
64,5061,UDP,4
65,2727,UDP,6
66,2427,UDP,6
67,2944,UDP,4
68,2945,UDP,4
69,4569,UDP,7
70,1194,UDP,6
71,1701,UDP,6
72,137,UDP,1
73,138,UDP,1
74,139,UDP,1
75,445,UDP,1
